code,redeem_url
2GYKCKHXJ6S6,https://universo-genesis.com/resgate?c=2GYKCKHXJ6S6
XQA3WGC9EDP3,https://universo-genesis.com/resgate?c=XQA3WGC9EDP3
ZT8QQ7PERSX5,https://universo-genesis.com/resgate?c=ZT8QQ7PERSX5
S8X2EW6CCNS7,https://universo-genesis.com/resgate?c=S8X2EW6CCNS7
8G8DN6K7Q2V5,https://universo-genesis.com/resgate?c=8G8DN6K7Q2V5
FAZTKV7D8XN8,https://universo-genesis.com/resgate?c=FAZTKV7D8XN8
G987TTGGPRM9,https://universo-genesis.com/resgate?c=G987TTGGPRM9
4EZMZBT5TSW5,https://universo-genesis.com/resgate?c=4EZMZBT5TSW5
TM7ZRXPJAN77,https://universo-genesis.com/resgate?c=TM7ZRXPJAN77
8KDAPHAYZHH3,https://universo-genesis.com/resgate?c=8KDAPHAYZHH3
S8PERM9SBHX7,https://universo-genesis.com/resgate?c=S8PERM9SBHX7
P7STHESGNY25,https://universo-genesis.com/resgate?c=P7STHESGNY25
KAMS4MAVNCW5,https://universo-genesis.com/resgate?c=KAMS4MAVNCW5
HE3AEDGQGQW2,https://universo-genesis.com/resgate?c=HE3AEDGQGQW2
D4HDX5H4NRH6,https://universo-genesis.com/resgate?c=D4HDX5H4NRH6
JTM8TD84VBH2,https://universo-genesis.com/resgate?c=JTM8TD84VBH2
CM668SCVP7P5,https://universo-genesis.com/resgate?c=CM668SCVP7P5
A95JCR7DPM39,https://universo-genesis.com/resgate?c=A95JCR7DPM39
WCA8R8B56XB3,https://universo-genesis.com/resgate?c=WCA8R8B56XB3
7M86JFVNDR56,https://universo-genesis.com/resgate?c=7M86JFVNDR56
DNHMYR9C6W68,https://universo-genesis.com/resgate?c=DNHMYR9C6W68
NZNQGGQHF6W4,https://universo-genesis.com/resgate?c=NZNQGGQHF6W4
6WWV724SV959,https://universo-genesis.com/resgate?c=6WWV724SV959
DWJ9S4GH7DK8,https://universo-genesis.com/resgate?c=DWJ9S4GH7DK8
75YM24RTA4J6,https://universo-genesis.com/resgate?c=75YM24RTA4J6
9YF2WMNEMVJ9,https://universo-genesis.com/resgate?c=9YF2WMNEMVJ9
CHZVR2HWXHM2,https://universo-genesis.com/resgate?c=CHZVR2HWXHM2
Y5PMAAPG5XK3,https://universo-genesis.com/resgate?c=Y5PMAAPG5XK3
VZCYDG5DPGX6,https://universo-genesis.com/resgate?c=VZCYDG5DPGX6
GBWKADKYA979,https://universo-genesis.com/resgate?c=GBWKADKYA979
E3XEWNRR3X35,https://universo-genesis.com/resgate?c=E3XEWNRR3X35
VJCKRY78S547,https://universo-genesis.com/resgate?c=VJCKRY78S547
NJW8P5ZDD8K2,https://universo-genesis.com/resgate?c=NJW8P5ZDD8K2
N9QN9HXKTDT3,https://universo-genesis.com/resgate?c=N9QN9HXKTDT3
T97XKW7XFDV2,https://universo-genesis.com/resgate?c=T97XKW7XFDV2
9F2XXM4HVWE2,https://universo-genesis.com/resgate?c=9F2XXM4HVWE2
NZQN33NBCVT8,https://universo-genesis.com/resgate?c=NZQN33NBCVT8
SENGT9AYZXH9,https://universo-genesis.com/resgate?c=SENGT9AYZXH9
